alloy_name,elastic_modulus,source,mixing_entropy,mixing_enthalpy,valence_electron,diff_in_atomic_radii,diff_electronegativity,omega,lambda,phases,density,hardness,yield_strength,mean_atomic_radius,std_atomic_radius,max_atomic_radius,min_atomic_radius,delta_r,mean_electronegativity,std_electronegativity,delta_chi,vec,mixing_entropy.1,num_elements,comp_Ti,comp_Zr,comp_Hf,comp_Nb,comp_Ta,comp_V,comp_Cr,comp_Mo,comp_W,comp_Fe,comp_Co,comp_Ni,comp_Cu,comp_Al,comp_Mn,comp_Si,comp_Sn
CoCrFeNi2.1Nb0,27.0,DOE/OSTI,11.0061902267445,-3.69140220549119,8.62744,0.268735802503741,0.0932931150437158,5.48832110599641,152.400346985629,,,,,25.07450980392157,16.151600132841672,51.05882352941177,0.0,51.05882352941177,0.3678823529411764,0.2499732980742065,0.7864705882352941,8.627450980392158,11.005548812696356,5,0.0,0.0,0.0,0.0,0.0,0.0,0.196078431372549,0.0,0.0,0.196078431372549,0.196078431372549,0.411764705882353,0.0,0.0,0.0,0.0,0.0
AlCoCrCuNiTi,36.0,Gorsse,,,,,,,,BCC,6.4,,,22.08333333333333,1.5053915449821371,24.5,20.666666666666664,3.833333333333336,0.2916666666666666,0.0251661147842358,0.0616666666666666,7.166666666666667,14.896688227162048,6,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0
AlCoCrCuNiTiY0.5,36.0,Gorsse,,,,,,,,Im,6.1,,,22.08333333333333,1.5053915449821371,24.5,20.666666666666664,3.833333333333336,0.2916666666666666,0.0251661147842358,0.0616666666666666,7.166666666666667,14.896688227162048,6,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0
AlCoCrCuNiTiY,37.0,Gorsse,,,,,,,,Im,5.8,,,22.08333333333333,1.5053915449821371,24.5,20.666666666666664,3.833333333333336,0.2916666666666666,0.0251661147842358,0.0616666666666666,7.166666666666667,14.896688227162048,6,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0
AlCoCrCuNiTiY0.8,38.0,Gorsse,,,,,,,,Im,5.9,,,22.08333333333333,1.5053915449821371,24.5,20.666666666666664,3.833333333333336,0.2916666666666666,0.0251661147842358,0.0616666666666666,7.166666666666667,14.896688227162048,6,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0
CoCrFeNi2.1Nb0.2,47.8,DOE/OSTI,11.92689583222,-6.51621547702239,8.49063999999999,2.78559094295328,0.102258144780052,3.43203301689594,1.53706680244111,,,,,25.230188679245284,13.901091899508328,49.13207547169812,5.509433962264152,43.62264150943396,0.3660754716981132,0.2233685092443344,0.6964150943396227,8.49056603773585,11.926143276728778,5,0.0,0.0,0.0,0.0377358490566037,0.0,0.0,0.1886792452830188,0.0,0.0,0.1886792452830188,0.1886792452830188,0.3962264150943396,0.0,0.0,0.0,0.0,0.0
TaNbHfZrTi,49.88,DOE/OSTI,13.3816113591719,2.63808,4.4,4.99441745961379,0.118253963992755,12.797870215911,0.5364617132909539,,,,,30.32,1.2936769303036972,32.0,29.200000000000003,2.799999999999997,0.2908,0.0236507927985511,0.06,4.4,13.380866803977112,5,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CoCrFeNi2.1Nb0.4,53.0,DOE/OSTI,12.3728386882638,-8.9274214764864,8.36371,3.76874766137032,0.109252928746169,2.64283364912327,0.871114476045088,,,,,25.37454545454545,11.983115393980588,47.345454545454544,10.61818181818182,36.72727272727273,0.3644,0.2000418600821437,0.6129090909090908,8.363636363636363,12.372082108207104,5,0.0,0.0,0.0,0.0727272727272727,0.0,0.0,0.1818181818181818,0.0,0.0,0.1818181818181818,0.1818181818181818,0.3818181818181818,0.0,0.0,0.0,0.0,0.0
HfNbTaTiZr,55.0,Gorsse,,,,,,,,BCC,9.7,295.0,1073.0,30.320000000000004,1.2936769303036972,32.0,29.200000000000003,2.799999999999997,0.2908,0.0236507927985511,0.06,4.4,13.380866803977112,5,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al1.25CoCrFeNi,55.6,DOE/OSTI,13.3456334236321,-20.7977842673664,7.00014,6.11768052928182,0.122980128476107,1.05774319689713,0.356587079944895,,,,,25.971428571428568,4.0459492353982265,34.047619047619044,23.619047619047617,10.428571428571429,0.354,0.0220566164917867,0.0671428571428572,7.0,13.34479025611359,5,0.0,0.0,0.0,0.0,0.0,0.0,0.1904761904761904,0.0,0.0,0.1904761904761904,0.1904761904761904,0.1904761904761904,0.0,0.238095238095238,0.0,0.0,0.0
