alloy_name,elastic_modulus,density,hardness,yield_strength,ultimate_strength,elongation,phases,source
CoFeNi,207.0,8.5,125.0,204.0,,,FCC,Gorsse Dataset
CoFeNi,207.0,8.5,125.0,209.0,,,FCC,Gorsse Dataset
CoFeNi,207.0,8.5,,211.0,513.0,31,FCC,Gorsse Dataset
CoFeNiSi0.25,194.0,7.7,149.0,196.0,,,FCC,Gorsse Dataset
Al0.25CoFeNi,196.0,7.9,138.0,158.0,,,FCC,Gorsse Dataset
Al0.5CoFeNi,187.0,7.4,212.0,346.0,,,FCC + BCC,Gorsse Dataset
Al0.75CoFeNi,179.0,7.0,385.0,794.0,,,FCC + BCC,Gorsse Dataset
CoCrFeNi,225.0,8.2,,148.0,413.0,48,FCC,Gorsse Dataset
CoCrFeNi,225.0,8.2,116.0,,,,FCC,Gorsse Dataset
CoCrFeNi,225.0,8.2,113.0,,,,FCC,Gorsse Dataset
CoCrFeNiTi,135.0,7.2,,,2020.0,9,FCC,Gorsse Dataset
Co1.5CrFeNi1.5Ti0.5,211.0,7.8,509.0,,,,FCC,Gorsse Dataset
Al0.25CoCrFeNi,216.0,7.7,110.0,,,,FCC,Gorsse Dataset
Al0.25CoCrFeNi,216.0,7.7,113.0,,,,FCC,Gorsse Dataset
Al0.375CoCrFeNi,211.0,7.5,131.0,,,,FCC,Gorsse Dataset
Al0.375CoCrFeNi,211.0,7.5,196.0,,,,FCC,Gorsse Dataset
Al0.5CoCrFeNi,208.0,7.3,159.0,,,,FCC + BCC,Gorsse Dataset
Al0.5CoCrFeNi,208.0,7.3,209.0,,,,FCC + BCC,Gorsse Dataset
Al0.75CoCrFeNi,200.0,7.0,388.0,,,,FCC + BCC,Gorsse Dataset
Al0.75CoCrFeNi,200.0,7.0,280.0,,,,FCC + BCC,Gorsse Dataset
Al0.875CoCrFeNi,197.0,6.9,,,,,FCC + BCC,Gorsse Dataset
Al0.875CoCrFeNi,197.0,6.9,538.0,,,,BCC,Gorsse Dataset
Al0.875CoCrFeNi,197.0,6.9,361.0,,,,FCC + BCC,Gorsse Dataset
AlCoCrFeNi,194.0,6.7,484.0,,,,BCC,Gorsse Dataset
AlCoCrFeNi,194.0,6.7,433.0,,,,FCC + BCC,Gorsse Dataset
AlCoCrFeNi,194.0,6.7,395.0,,,,BCC,Gorsse Dataset
AlCoCrFeNi,194.0,6.7,,1251.0,2004.0,33,BCC,Gorsse Dataset
AlCoCrFeNi,194.0,6.7,,1051.0,,,BCC,Gorsse Dataset
AlCoCrFeNi,194.0,6.7,,1110.0,,,BCC,Gorsse Dataset
AlCoCrFeNi,125.0,6.7,,1138.0,,,BCC,Gorsse Dataset
AlCoCrFeNi,125.0,6.7,,1138.0,,11,BCC,Gorsse Dataset
AlCoCrFeNi,194.0,6.7,,1051.0,,,BCC,Gorsse Dataset
AlCoCrFeNi,194.0,6.7,520.0,1373.0,3531.0,25,BCC,Gorsse Dataset
Al1.25CoCrFeNi,188.0,6.5,487.0,,,,BCC,Gorsse Dataset
Al1.25CoCrFeNi,188.0,6.5,499.0,,,,BCC,Gorsse Dataset
Al1.5CoCrFeNi,183.0,6.2,484.0,,,,BCC,Gorsse Dataset
Al1.5CoCrFeNi,183.0,6.2,517.0,,,,BCC,Gorsse Dataset
Al1.5CoCrFeNi,183.0,6.2,402.0,,,,BCC,Gorsse Dataset
Al2CoCrFeNi,173.0,5.9,509.0,,,,BCC,Gorsse Dataset
Al2CoCrFeNi,173.0,5.9,512.0,,,,BCC,Gorsse Dataset
Al2CoCrFeNi,173.0,5.9,432.0,,,,BCC,Gorsse Dataset
Al2.5CoCrFeNi,165.0,5.6,487.0,,,,BCC,Gorsse Dataset
Al3CoCrFeNi,158.0,5.3,506.0,,,,BCC,Gorsse Dataset
AlC0.1CoCrFeNi,213.0,6.7,,957.0,2550.0,11,BCC + Im,Gorsse Dataset
AlC0.2CoCrFeNi,151.0,6.8,,906.0,2386.0,9,BCC + Im,Gorsse Dataset
AlC0.3CoCrFeNi,137.0,6.8,,867.0,2178.0,8,BCC + Im,Gorsse Dataset
AlC0.4CoCrFeNi,156.0,6.8,,1056.0,2375.0,7,BCC + Im,Gorsse Dataset
AlC0.5CoCrFeNi,181.0,6.8,,1060.0,2250.0,6,BCC + Im,Gorsse Dataset
AlCCoCrFeNi,75.0,6.9,,1251.0,2166.0,7,BCC + Im,Gorsse Dataset
AlC1.5CoCrFeNi,73.0,7.0,,1255.0,2083.0,6,BCC + Im,Gorsse Dataset
AlCoCrFeMo0.1Ni,196.0,6.8,,1804.0,2280.0,9,BCC,Gorsse Dataset
Al2CoCrFeMo0.5Ni,185.0,6.3,605.0,,,,BCC,Gorsse Dataset
AlCoCrFeNb0.1Ni,192.0,6.8,569.0,1641.0,3285.0,17,BCC,Gorsse Dataset
AlCoCrFeNiSi0.2,188.0,6.5,,1265.0,2173.0,14,BCC,Gorsse Dataset
AlCoCrFeNiSi0.4,183.0,6.2,,1481.0,2444.0,13,BCC,Gorsse Dataset
AlCoCrFeNiSi0.6,178.0,6.0,,1834.0,2195.0,3,BCC,Gorsse Dataset
AlCoCrFeNi,169.0,5.7,,1110.0,,,BCC,Gorsse Dataset
Al0.2Co1.5CrFeNi1.5Ti0.5,206.0,7.6,487.0,,,,FCC,Gorsse Dataset
Al0.5CoCrFeNiTi,107.0,6.6,,,1600.0,10,BCC + Im,Gorsse Dataset
AlCoCrFeNiTi0.5,72.0,6.4,178.0,2040.0,3135.0,24,FCC,Gorsse Dataset
AlCoCrFeNiTi0.5,178.0,6.4,178.0,2260.0,3140.0,23,BCC,Gorsse Dataset
AlCoCrFeNiTi,90.0,6.2,,1860.0,2580.0,9,BCC,Gorsse Dataset
AlCoCrFeNiTi,148.0,6.2,,,2280.0,6,BCC + Im,Gorsse Dataset
AlCoCrFeNiTi1.5,160.0,6.1,,2220.0,2720.0,5,BCC + Im,Gorsse Dataset
