alloy_name,elastic_modulus,source,data_type,formula,reference_id
Al0.25 Co1 Fe1 Ni1,192.0,MPEA Nano-indentation (calculated),calculated,Al0.25 Co1 Fe1 Ni1,27
Al1 Co1 Fe1 Ni1,162.0,MPEA Nano-indentation (calculated),calculated,Al1 Co1 Fe1 Ni1,27
Co1 Fe1 Ni1,207.0,MPEA Nano-indentation (calculated),calculated,Co1 Fe1 Ni1,27
Co1 Fe1 Ni1,207.0,MPEA Nano-indentation (calculated),calculated,Co1 Fe1 Ni1,27
Co1 Fe1 Ni1 Si0.25,186.0,MPEA Nano-indentation (calculated),calculated,Co1 Fe1 Ni1 Si0.25,27
Co1 Cr1 Fe1 Ni1,226.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Ni1,37
Co1 Cr1 Mn1 Ni1,222.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Mn1 Ni1,37
Co1 Cr1 Ni1,231.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Ni1,37
Co1 Fe1 Mn1 Ni1,204.0,MPEA Nano-indentation (calculated),calculated,Co1 Fe1 Mn1 Ni1,37
Co1 Fe1 Ni1,207.0,MPEA Nano-indentation (calculated),calculated,Co1 Fe1 Ni1,37
Co1 Mn1 Ni1,202.0,MPEA Nano-indentation (calculated),calculated,Co1 Mn1 Ni1,37
Fe1 Mn1 Ni1,203.0,MPEA Nano-indentation (calculated),calculated,Fe1 Mn1 Ni1,37
Co1 Cr1 Fe1 Ni1,226.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Ni1,46
Al0.25 Co1 Cr1 Fe1 Ni1,213.0,MPEA Nano-indentation (calculated),calculated,Al0.25 Co1 Cr1 Fe1 Ni1,54
Al0.25 Co1 Cr1 Fe1 Ni1,213.0,MPEA Nano-indentation (calculated),calculated,Al0.25 Co1 Cr1 Fe1 Ni1,54
Al0.375 Co1 Cr1 Fe1 Ni1,207.0,MPEA Nano-indentation (calculated),calculated,Al0.375 Co1 Cr1 Fe1 Ni1,54
Al0.375 Co1 Cr1 Fe1 Ni1,207.0,MPEA Nano-indentation (calculated),calculated,Al0.375 Co1 Cr1 Fe1 Ni1,54
Al0.875 Co1 Cr1 Fe1 Ni1,188.0,MPEA Nano-indentation (calculated),calculated,Al0.875 Co1 Cr1 Fe1 Ni1,54
Al1 Co0.8 Cr0.8 Fe0.8 Ni0.8,177.0,MPEA Nano-indentation (calculated),calculated,Al1 Co0.8 Cr0.8 Fe0.8 Ni0.8,54
Al1 Co0.8 Cr0.8 Fe0.8 Ni0.8,177.0,MPEA Nano-indentation (calculated),calculated,Al1 Co0.8 Cr0.8 Fe0.8 Ni0.8,54
Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,171.0,MPEA Nano-indentation (calculated),calculated,Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,54
Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,171.0,MPEA Nano-indentation (calculated),calculated,Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,54
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,160.0,MPEA Nano-indentation (calculated),calculated,Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,54
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,160.0,MPEA Nano-indentation (calculated),calculated,Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,54
Al1 Co1 Cr1 Fe1 Ni1,184.0,MPEA Nano-indentation (calculated),calculated,Al1 Co1 Cr1 Fe1 Ni1,54
