alloy_name,elastic_modulus,source,mixing_entropy,mixing_enthalpy,valence_electron,diff_in_atomic_radii,diff_electronegativity,omega,lambda,phases,density,hardness,yield_strength,mean_atomic_radius,std_atomic_radius,max_atomic_radius,min_atomic_radius,delta_r,mean_electronegativity,std_electronegativity,delta_chi,vec,mixing_entropy.1,num_elements,comp_Ti,comp_Zr,comp_Hf,comp_Nb,comp_Ta,comp_V,comp_Cr,comp_Mo,comp_W,comp_Fe,comp_Co,comp_Ni,comp_Cu,comp_Al,comp_Mn,comp_Si,comp_Sn,ultimate_strength,elongation,Unnamed: 0,Alloy,Diff. Lattice Constants,Diff. Melting Point,Mixing Enthalpy,Lattice Constants,Lambda,Diff. in atomic radii,Omega,Melting Temp.,Diff. Electronegativity,Mixing Entropy,Valence electron,Young's Mod (GPa),alloy_system,elastic_modulus_gpa,composition,year,notes,Composition,Phases present,Hardness (HVN),Yield Strength (MPa),Ultimate Tensile Strength (MPa),Elongation (%),Compressive strength (MPa),Plasticity (%) - Compressive,Note on any unqiue processing or data features,Source,FCC,BCC,HCP,IM,Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Ge,Hf,Li,Mg,Mn,Mo,N,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr
69,27.0,DOE/OSTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,CoCrFeNi2.1Nb0,0.400139102470979,170.331414965061,-3.69140220549119,3.075290528,152.400346985629,0.268735802503741,5.48832110599641,1840.746,0.0932931150437158,11.0061902267445,8.62744,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27.0,youngsdata_Alloy_Features,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,CoCrFeNi2.1Nb0,0.400139102470979,170.331414965061,-3.69140220549119,3.075290528,152.400346985629,0.268735802503741,5.48832110599641,1840.746,0.0932931150437158,11.0061902267445,8.62744,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoCrFeNi2.1Nb0,27.0,DOE/OSTI,11.0061902267445,-3.69140220549119,8.62744,0.268735802503741,0.0932931150437158,5.48832110599641,152.400346985629,,,,,25.07450980392157,16.151600132841672,51.05882352941177,0.0,51.05882352941177,0.3678823529411764,0.2499732980742065,0.7864705882352941,8.627450980392158,11.005548812696356,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.196078431372549,0.0,0.0,0.196078431372549,0.196078431372549,0.411764705882353,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlCoCrCuNiTiY0.5,36.0,Gorsse Dataset,,,,,,,,Im,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlCoCrCuNiTi,36.0,Gorsse Dataset,,,,,,,,BCC,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1495.0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlCoCrCuNiTiY,37.0,Gorsse Dataset,,,,,,,,Im,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1192.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlCoCrCuNiTiY0.8,38.0,Gorsse Dataset,,,,,,,,Im,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1325.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoCrFeNi2.1Nb0.2,47.8,DOE/OSTI,11.92689583222,-6.51621547702239,8.49063999999999,2.78559094295328,0.102258144780052,3.43203301689594,1.53706680244111,,,,,25.230188679245284,13.901091899508328,49.13207547169812,5.509433962264152,43.62264150943396,0.3660754716981132,0.2233685092443344,0.6964150943396227,8.49056603773585,11.926143276728778,5.0,0.0,0.0,0.0,0.0377358490566037,0.0,0.0,0.1886792452830188,0.0,0.0,0.1886792452830188,0.1886792452830188,0.3962264150943396,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,47.8,DOE/OSTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,CoCrFeNi2.1Nb0.2,0.39485554307055,240.711041692731,-6.51621547702239,3.08382126399999,1.53706680244111,2.78559094295328,3.43203301689594,1875.07856,0.102258144780052,11.92689583222,8.49063999999999,47.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TaNbHfZrTi,49.88,DOE/OSTI,13.3816113591719,2.63808,4.4,4.99441745961379,0.118253963992755,12.797870215911,0.5364617132909539,,,,,30.32,1.2936769303036972,32.0,29.200000000000003,2.799999999999997,0.2908,0.0236507927985511,0.06,4.4,13.380866803977112,5.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
