,Co,Cr,Fe,Ni,Mn,Al,Cu,Mo,Hardness
0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,300.0
1,0.2,0.2,0.2,0.4,0.0,0.0,0.0,0.0,116.0
2,0.0,0.25,0.25,0.25,0.0,0.25,0.0,0.0,472.0
3,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,135.0
4,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,135.0
5,0.2,0.2,0.2,0.0,0.0,0.4,0.0,0.0,509.0
6,0.2,0.2,0.2,0.35,0.0,0.05,0.0,0.0,110.0
7,0.2,0.2,0.2,0.325,0.0,0.075,0.0,0.0,131.0
8,0.2,0.2,0.2,0.3,0.0,0.1,0.0,0.0,159.0
9,0.21052631578947367,0.21052631578947367,0.2631578947368421,0.2631578947368421,0.0,0.05263157894736842,0.0,0.0,161.0
10,0.2,0.2,0.2,0.25,0.0,0.15,0.0,0.0,388.0
11,0.2,0.2,0.2,0.225,0.0,0.175,0.0,0.0,538.0
12,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,247.0
13,0.2,0.2,0.2,0.2,0.0,0.2,0.0,0.0,520.0
14,0.2,0.2,0.2,0.2,0.0,0.2,0.0,0.0,484.0
15,0.2,0.2,0.2,0.2,0.0,0.2,0.0,0.0,395.0
16,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,144.0
17,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.2727272727272727,0.0,0.0,402.0
18,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,432.0
19,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.0,0.38461538461538464,0.0,0.0,487.0
20,0.2,0.2,0.2,0.15,0.0,0.25,0.0,0.0,487.0
21,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.42857142857142855,0.0,0.0,506.0
22,0.0,0.23255813953488372,0.3488372093023256,0.11627906976744186,0.23255813953488372,0.06976744186046512,0.0,0.0,297.0
23,0.0,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,0.0,396.0
24,0.2,0.2,0.2,0.1,0.0,0.3,0.0,0.0,484.0
25,0.18867924528301888,0.18867924528301888,0.18867924528301888,0.18867924528301888,0.18867924528301888,0.05660377358490566,0.0,0.0,125.0
26,0.18,0.22,0.22,0.22,0.05,0.11,0.0,0.0,198.0
27,0.16,0.185,0.165,0.135,0.05,0.305,0.0,0.0,522.0
28,0.06,0.35,0.06,0.05,0.18,0.3,0.0,0.0,605.0
29,0.09,0.35,0.1,0.05,0.155,0.255,0.0,0.0,628.0
30,0.18,0.35,0.1,0.055,0.075,0.24,0.0,0.0,650.0
