,﻿Compositions,Phases,Pretty_Formula,Different_Phases,Elements
0,CrFeMo0.1Ni2,FCC,Cr10Fe10Ni20Mo,['FCC'],"['Cr', 'Fe', 'Mo', 'Ni']"
1,CrFeMo0.2Ni2,FCC,Cr5Fe5Ni10Mo,['FCC'],"['Cr', 'Fe', 'Mo', 'Ni']"
2,CrFeMo0.3Ni2,FCC,Cr10Fe10Ni20Mo3,['FCC'],"['Cr', 'Fe', 'Mo', 'Ni']"
3,CrFeMo0.4Ni2,FCC,Cr5Fe5(Ni5Mo)2,['FCC'],"['Cr', 'Fe', 'Mo', 'Ni']"
4,CrFeMo0.5Ni2,FCC + σ,Cr2Fe2Ni4Mo,['FCC'],"['Cr', 'Fe', 'Mo', 'Ni']"
5,CoCrFeNi2,FCC,CrFeCoNi2,['FCC'],"['Co', 'Cr', 'Fe', 'Ni']"
6,AlCrFeNi,BCC + B2,AlCrFeNi,"['BCC', 'B2']","['Al', 'Cr', 'Fe', 'Ni']"
7,CoCrFeNi,FCC,CrFeCoNi,['FCC'],"['Co', 'Cr', 'Fe', 'Ni']"
8,CrFe1.5MnNi0.5,FCC + σ,Mn2Cr2Fe3Ni,['FCC'],"['Cr', 'Fe', 'Mn', 'Ni']"
9,Al0.2CrCuFeNi2,FCC,AlCr5Fe5(CuNi2)5,['FCC'],"['Al', 'Cr', 'Cu', 'Fe', 'Ni']"
10,Al0.4CrCuFeNi2,FCC,Al2Cr5Fe5(CuNi2)5,['FCC'],"['Al', 'Cr', 'Cu', 'Fe', 'Ni']"
11,Al0.5CrCuFeNi2,FCC,AlCr2Fe2(CuNi2)2,['FCC'],"['Al', 'Cr', 'Cu', 'Fe', 'Ni']"
12,Al0.7CrCuFeNi2,FCC,Al7Cr10Fe10(CuNi2)10,['FCC'],"['Al', 'Cr', 'Cu', 'Fe', 'Ni']"
13,Al0.25CoCrFeNi1.75,FCC,AlCr4Fe4Co4Ni7,['FCC'],"['Al', 'Co', 'Cr', 'Fe', 'Ni']"
14,Al0.8CrCuFeNi2,FCC + B2,Al4Cr5Fe5(CuNi2)5,"['FCC', 'B2']","['Al', 'Cr', 'Cu', 'Fe', 'Ni']"
15,Al0.375CoCrFeNi1.625,FCC,Al3Cr8Fe8Co8Ni13,['FCC'],"['Al', 'Co', 'Cr', 'Fe', 'Ni']"
16,Al1.2CrCuFeNi2,FCC + B2,Al6Cr5Fe5(CuNi2)5,"['FCC', 'B2']","['Al', 'Cr', 'Cu', 'Fe', 'Ni']"
17,Al1.5CrCuFeNi2,FCC + B2,Al3Cr2Fe2(CuNi2)2,"['FCC', 'B2']","['Al', 'Cr', 'Cu', 'Fe', 'Ni']"
18,Al1.8CrCuFeNi2,BCC + B2,Al9Cr5Fe5(CuNi2)5,"['BCC', 'B2']","['Al', 'Cr', 'Cu', 'Fe', 'Ni']"
19,Al2CrCuFeNi2,BCC + B2,Al2CrFeCuNi2,"['BCC', 'B2']","['Al', 'Cr', 'Cu', 'Fe', 'Ni']"
20,Al2.2CrCuFeNi2,BCC + B2,Al11Cr5Fe5(CuNi2)5,"['BCC', 'B2']","['Al', 'Cr', 'Cu', 'Fe', 'Ni']"
