alloy_name,elastic_modulus,source,C11,C12,C44
MoReV2,198.29999999999998,Refractory HEA Elastic Constants (GitHub),393.26,194.96,95.88
ReV2W,212.83,Refractory HEA Elastic Constants (GitHub),414.85,202.02,107.23
CrReV2,228.26999999999998,Refractory HEA Elastic Constants (GitHub),412.58,184.31,122.5
ReV,272.74,Refractory HEA Elastic Constants (GitHub),456.37,183.63,127.99
ReV3,164.87,Refractory HEA Elastic Constants (GitHub),347.55,182.68,99.84
MoReTiV,155.14000000000001,Refractory HEA Elastic Constants (GitHub),329.43,174.29,69.89
CrReTaV,193.21000000000004,Refractory HEA Elastic Constants (GitHub),384.97,191.76,92.89
ReTaV2,133.37,Refractory HEA Elastic Constants (GitHub),322.17,188.8,57.75
ReMoTiVW,194.70000000000002,Refractory HEA Elastic Constants (GitHub),354.11,159.41,113.02
ReTiV2,166.17999999999998,Refractory HEA Elastic Constants (GitHub),313.58,147.4,67.54
MoReTaV,202.48000000000002,Refractory HEA Elastic Constants (GitHub),388.47,185.99,98.95
NbReV2,112.98999999999998,Refractory HEA Elastic Constants (GitHub),297.7,184.71,59.04
NbReVW,205.87,Refractory HEA Elastic Constants (GitHub),391.18,185.31,106.18
ReMoTaTiW,195.45,Refractory HEA Elastic Constants (GitHub),366.89,171.44,98.04
MoReTiW,212.25000000000003,Refractory HEA Elastic Constants (GitHub),398.98,186.73,102.98
ReTaTiVCr,147.78,Refractory HEA Elastic Constants (GitHub),287.12,139.34,111.34
ReNbTaVW,181.29,Refractory HEA Elastic Constants (GitHub),355.75,174.46,98.52
ReMoTiVCr,188.71999999999997,Refractory HEA Elastic Constants (GitHub),355.34,166.62,95.54
ReMoTaVW,223.57999999999998,Refractory HEA Elastic Constants (GitHub),404.03,180.45,111.83
MoNbReV,189.97000000000003,Refractory HEA Elastic Constants (GitHub),373.92,183.95,88.66
ReTiVWCr,183.92000000000002,Refractory HEA Elastic Constants (GitHub),357.99,174.07,96.88
Re2VW,285.42999999999995,Refractory HEA Elastic Constants (GitHub),506.95,221.52,147.14
ReTaTiVW,165.68,Refractory HEA Elastic Constants (GitHub),333.44,167.76,89.34
Mo2NbTa,153.10999999999999,Refractory HEA Elastic Constants (GitHub),326.96,173.85,75.53
Mo2ReTi,206.96,Refractory HEA Elastic Constants (GitHub),387.54,180.58,91.25
MoReV,249.99,Refractory HEA Elastic Constants (GitHub),441.24,191.25,137.18
CrReVW,256.11,Refractory HEA Elastic Constants (GitHub),451.42,195.31,127.81
ReVW,238.27,Refractory HEA Elastic Constants (GitHub),440.69,202.42,138.9
CrRe2V,274.04999999999995,Refractory HEA Elastic Constants (GitHub),484.33,210.28,139.39
ReMoNbTaV,216.84,Refractory HEA Elastic Constants (GitHub),378.44,161.6,95.2
CrReTaW,240.77999999999997,Refractory HEA Elastic Constants (GitHub),424.52,183.74,121.56
ReNbTiVW,176.08,Refractory HEA Elastic Constants (GitHub),338.41,162.33,77.16
ReMoNbTiW,216.24,Refractory HEA Elastic Constants (GitHub),379.13,162.89,93.84
ReMoNbTiV,179.34,Refractory HEA Elastic Constants (GitHub),339.8,160.46,85.24
MoRe2V,263.94,Refractory HEA Elastic Constants (GitHub),476.14,212.2,135.77
ReTaTiWCr,166.45,Refractory HEA Elastic Constants (GitHub),334.71,168.26,100.43
ReMoTaTiV,174.02,Refractory HEA Elastic Constants (GitHub),335.56,161.54,83.13
ReNbTaTiV,106.81999999999996,Refractory HEA Elastic Constants (GitHub),272.28,165.46,78.05
Mo2TaW,204.22,Refractory HEA Elastic Constants (GitHub),393.64,189.42,98.9
ReMoTaTiCr,181.74,Refractory HEA Elastic Constants (GitHub),345.75,164.01,87.75
ReMoTaVHf,162.66,Refractory HEA Elastic Constants (GitHub),320.33,157.67,85.13
MoReVW,269.69,Refractory HEA Elastic Constants (GitHub),464.57,194.88,133.46
ReTiW2,249.26,Refractory HEA Elastic Constants (GitHub),439.13,189.87,110.69
ReNbTaVCr,156.35,Refractory HEA Elastic Constants (GitHub),325.06,168.71,91.86
Mo2TaV,145.11999999999998,Refractory HEA Elastic Constants (GitHub),326.33,181.21,62.82
ReMoTiWCr,214.88000000000002,Refractory HEA Elastic Constants (GitHub),382.17,167.29,107.64
CrReV,265.73,Refractory HEA Elastic Constants (GitHub),437.2,171.47,139.1
ReVW2,270.03000000000003,Refractory HEA Elastic Constants (GitHub),478.92,208.89,131.87
Mo3Ti,183.28,Refractory HEA Elastic Constants (GitHub),337.44,154.16,112.08
ReNbVWCr,184.73999999999998,Refractory HEA Elastic Constants (GitHub),361.21,176.47,117.08
CrMoReTi,211.57000000000002,Refractory HEA Elastic Constants (GitHub),358.73,147.16,96.28
MoTa,177.89,Refractory HEA Elastic Constants (GitHub),345.51,167.62,81.61
Mo2TiW,148.81,Refractory HEA Elastic Constants (GitHub),327.49,178.68,66.45
ReMoNbVHf,141.18,Refractory HEA Elastic Constants (GitHub),292.3,151.12,63.61
ReMoNbTaW,220.21999999999997,Refractory HEA Elastic Constants (GitHub),395.83,175.61,109.86
MoV2W,121.15,Refractory HEA Elastic Constants (GitHub),318.18,197.03,57.7
ReNbTiWCr,159.65000000000003,Refractory HEA Elastic Constants (GitHub),328.04,168.39,96.18
Mo2ReV,241.17000000000002,Refractory HEA Elastic Constants (GitHub),431.62,190.45,124.99
ReNbTiVCr,169.6,Refractory HEA Elastic Constants (GitHub),325.7,156.1,74.01
Mo2ReTa,249.54999999999998,Refractory HEA Elastic Constants (GitHub),440.45,190.9,125.07
Mo2VW,200.28,Refractory HEA Elastic Constants (GitHub),388.06,187.78,93.12
Mo2NbV,139.78000000000003,Refractory HEA Elastic Constants (GitHub),307.47,167.69,69.91
Mo2TaTi,72.42000000000002,Refractory HEA Elastic Constants (GitHub),245.71,173.29,42.24
Mo2NbW,198.01,Refractory HEA Elastic Constants (GitHub),382.39,184.38,94.69
MoTaVW,140.74999999999997,Refractory HEA Elastic Constants (GitHub),327.83,187.08,68.34
Cr2ReV,234.60999999999999,Refractory HEA Elastic Constants (GitHub),414.08,179.47,115.67
MoTaW,205.24,Refractory HEA Elastic Constants (GitHub),400.56,195.32,118.09
MoNb2W,151.92999999999998,Refractory HEA Elastic Constants (GitHub),328.78,176.85,74.97
Mo3Ta,215.57,Refractory HEA Elastic Constants (GitHub),386.12,170.55,122.38
MoVW,188.53000000000003,Refractory HEA Elastic Constants (GitHub),369.79,181.26,112.78
MoReTaW,253.94000000000003,Refractory HEA Elastic Constants (GitHub),452.54,198.6,129.88
CrNbReV,192.45000000000002,Refractory HEA Elastic Constants (GitHub),363.91,171.46,89.65
MoVW2,237.84,Refractory HEA Elastic Constants (GitHub),426.43,188.59,114.06
MoNbReW,259.53999999999996,Refractory HEA Elastic Constants (GitHub),450.58,191.04,129.31
ReTaTiVHf,94.25,Refractory HEA Elastic Constants (GitHub),264.62,170.37,68.75
VW3,249.73,Refractory HEA Elastic Constants (GitHub),443.9,194.17,134.0
MoTaW2,241.76,Refractory HEA Elastic Constants (GitHub),430.13,188.37,116.62
TaW3,255.5,Refractory HEA Elastic Constants (GitHub),449.26,193.76,133.18
MoNb,166.82,Refractory HEA Elastic Constants (GitHub),327.27,160.45,77.97
CrMoReV,235.51999999999998,Refractory HEA Elastic Constants (GitHub),422.71,187.19,113.65
MoTiVW,137.98000000000002,Refractory HEA Elastic Constants (GitHub),296.66,158.68,65.9
Mo2NbTi,74.99000000000001,Refractory HEA Elastic Constants (GitHub),244.46,169.47,35.05
MoTa2V,144.64000000000001,Refractory HEA Elastic Constants (GitHub),307.05,162.41,67.05
MoNbTaW,144.47000000000003,Refractory HEA Elastic Constants (GitHub),329.67,185.2,69.15
MoTiW,158.29,Refractory HEA Elastic Constants (GitHub),315.77,157.48,91.9
ReMoNbTiCr,185.51000000000002,Refractory HEA Elastic Constants (GitHub),348.17,162.66,90.07
