material_id,alloy_name,elastic_modulus,bulk_modulus,shear_modulus,density,formation_energy,elements,num_elements,nsites,source
mp-1048,TiNi,110.7107576794934,146.751,40.28,6.625800858603042,-0.39585502666666605,"Ni,Ti",2,4,Materials Project
mp-2500,AlCu,171.07646102961263,112.579,68.61,5.511280106531164,-0.24248409,"Al,Cu",2,10,Materials Project
mp-20174,Ni3Sn4,128.88731965751293,96.833,50.419,8.701535132444633,-0.22278011999999803,"Ni,Sn",2,7,Materials Project
mp-2733,Al8Mo3,252.59759162230003,142.751,104.805,5.103490179411473,-0.38162391545454605,"Al,Mo",2,11,Materials Project
mp-571247,Al3Mo,238.19433056990104,135.713,98.633,4.9139439906479065,-0.363495063749999,"Al,Mo",2,16,Materials Project
mp-12794,Al2Cu,147.71776223024605,99.432,58.974,4.004613179778768,-0.05815897999999901,"Al,Cu",2,3,Materials Project
mp-1953,TiAl,170.98673342707966,113.483,68.456,3.8687884886405763,-0.44695741333333305,"Al,Ti",2,2,Materials Project
mp-2213,FeNi,226.33833691936036,184.902,87.323,8.535536782713221,-0.067223354999999,"Fe,Ni",2,4,Materials Project
mp-20738,FeSi2,304.2110556876136,185.12,124.055,5.075337680593534,-0.32531209124999905,"Fe,Si",2,3,Materials Project
mp-641526,Fe13Co3,212.27530420323748,170.181,82.143,8.128461329822313,-0.027467104999999003,"Co,Fe",2,16,Materials Project
mp-771,MnAl,197.15794087539712,122.529,80.027,5.071908127930998,-0.272285743965517,"Al,Mn",2,4,Materials Project
mp-601848,Fe11Co5,252.67258715801387,193.849,98.488,8.262363605796118,-0.049183250625,"Co,Fe",2,16,Materials Project
mp-601820,Fe3Co,241.26714698395665,182.283,94.289,8.21480064690456,-0.041613642499999,"Co,Fe",2,4,Materials Project
mp-999542,MnFe3,241.84077482927606,195.98,93.423,8.028968187258098,0.051220863017242005,"Fe,Mn",2,4,Materials Project
mp-2105,Hf3Si2,233.96013381618368,143.703,95.21,10.978191815965062,-0.844293900000002,"Hf,Si",2,10,Materials Project
mp-2078,TiCu,161.32206588407365,127.744,62.551,6.553558170638885,-0.138510230833333,"Cu,Ti",2,4,Materials Project
mp-622570,Ti2Cu3,148.6531733683342,130.158,56.753,7.01682967702633,-0.127568277666665,"Cu,Ti",2,10,Materials Project
mp-18427,Nb2Al,211.98740204163224,159.974,82.863,6.8271069171903545,-0.345805192333333,"Al,Nb",2,30,Materials Project
mp-639874,Ta2Al,147.26585139938916,161.55,54.621,12.115013158400961,-0.12393910155555302,"Al,Ta",2,30,Materials Project
mp-8462,Hf3Al2,171.3754350296,116.6,68.275,10.039069346652234,-0.37701472700000505,"Al,Hf",2,20,Materials Project
mp-1007923,CrNi3,269.2383578527968,196.281,105.884,8.71155801231758,0.0401541225,"Cr,Ni",2,4,Materials Project
mp-1007855,FeNi3,245.84909661266437,193.048,95.457,8.712064155440634,-0.072726832499999,"Fe,Ni",2,4,Materials Project
