,latent_x,latent_y,Co,Cr,Fe,Ni,Mn,Al
0,-4,-4,0.202375,0.256778,0.048958,0.095382,0.171191,0.225316
1,-3.959798995,-4,0.202646,0.254947,0.049463,0.096183,0.170344,0.226416
2,-3.91959799,-4,0.202889,0.253133,0.049968,0.096983,0.169484,0.227543
3,-3.879396985,-4,0.203104,0.251335,0.050472,0.09778,0.168611,0.228698
4,-3.83919598,-4,0.203289,0.249554,0.050975,0.098575,0.167725,0.229883
5,-3.798994975,-4,0.203444,0.247789,0.051477,0.099367,0.166825,0.231098
6,-3.75879397,-4,0.203569,0.246041,0.051977,0.100156,0.165912,0.232344
7,-3.718592965,-4,0.203663,0.244309,0.052476,0.100942,0.164985,0.233624
8,-3.67839196,-4,0.203725,0.242594,0.052973,0.101725,0.164045,0.234937
9,-3.638190955,-4,0.203755,0.240895,0.053468,0.102503,0.163092,0.236287
10,-3.59798995,-4,0.203752,0.239212,0.053961,0.103278,0.162124,0.237673
11,-3.557788945,-4,0.203716,0.237544,0.054451,0.104049,0.161143,0.239097
12,-3.51758794,-4,0.203646,0.235893,0.054938,0.104814,0.160148,0.240562
13,-3.477386935,-4,0.20354,0.234258,0.055422,0.105575,0.159138,0.242067
14,-3.43718593,-4,0.2034,0.232638,0.055902,0.10633,0.158115,0.243616
15,-3.396984925,-4,0.203223,0.231033,0.056378,0.10708,0.157077,0.245209
16,-3.35678392,-4,0.20301,0.229444,0.05685,0.107824,0.156025,0.246848
17,-3.316582915,-4,0.202759,0.22787,0.057317,0.108561,0.154959,0.248535
18,-3.27638191,-4,0.202469,0.226311,0.057779,0.109291,0.153877,0.250273
19,-3.236180905,-4,0.202141,0.224767,0.058235,0.110014,0.152781,0.252061
20,-3.195979899,-4,0.201774,0.223237,0.058686,0.110729,0.151671,0.253904
21,-3.155778894,-4,0.201366,0.221722,0.05913,0.111436,0.150545,0.255803
22,-3.115577889,-4,0.200917,0.22022,0.059567,0.112133,0.149404,0.257759
23,-3.075376884,-4,0.200426,0.218733,0.059998,0.112822,0.148247,0.259775
24,-3.035175879,-4,0.199892,0.217259,0.06042,0.113501,0.147075,0.261854
25,-2.994974874,-4,0.199315,0.215798,0.060834,0.114169,0.145887,0.263997
26,-2.954773869,-4,0.198694,0.21435,0.061239,0.114825,0.144684,0.266208
27,-2.914572864,-4,0.198028,0.212915,0.061635,0.115471,0.143464,0.268488
28,-2.874371859,-4,0.197316,0.211492,0.06202,0.116103,0.142228,0.270841
29,-2.834170854,-4,0.196557,0.210081,0.062395,0.116722,0.140976,0.273268
30,-2.793969849,-4,0.195751,0.208681,0.062759,0.117328,0.139707,0.275773
31,-2.753768844,-4,0.194897,0.207292,0.063111,0.117918,0.138421,0.27836
32,-2.713567839,-4,0.193994,0.205914,0.06345,0.118493,0.137118,0.281029
33,-2.673366834,-4,0.193041,0.204546,0.063776,0.119052,0.135798,0.283786
34,-2.633165829,-4,0.192038,0.203188,0.064088,0.119593,0.13446,0.286633
35,-2.592964824,-4,0.190983,0.201838,0.064384,0.120116,0.133105,0.289574
36,-2.552763819,-4,0.189875,0.200497,0.064666,0.120619,0.131731,0.292612
37,-2.512562814,-4,0.188714,0.199164,0.06493,0.121102,0.13034,0.29575
38,-2.472361809,-4,0.187499,0.197838,0.065178,0.121563,0.12893,0.298992
39,-2.432160804,-4,0.186478,0.196228,0.065455,0.121955,0.127527,0.302358
40,-2.391959799,-4,0.185809,0.194147,0.065795,0.122243,0.126147,0.305859
41,-2.351758794,-4,0.185057,0.192105,0.066111,0.122508,0.124744,0.309476
42,-2.311557789,-4,0.184221,0.190098,0.066404,0.122748,0.123318,0.313211
43,-2.271356784,-4,0.183301,0.188127,0.066671,0.122964,0.121868,0.31707
44,-2.231155779,-4,0.182295,0.186188,0.066912,0.123152,0.120395,0.321057
45,-2.190954774,-4,0.181204,0.184281,0.067126,0.123313,0.118899,0.325177
46,-2.150753769,-4,0.180025,0.182404,0.067312,0.123444,0.117379,0.329436
47,-2.110552764,-4,0.17876,0.180554,0.067467,0.123544,0.115836,0.333839
48,-2.070351759,-4,0.177406,0.178731,0.067592,0.123612,0.114269,0.33839
49,-2.030150754,-4,0.175964,0.176931,0.067685,0.123646,0.112679,0.343095
50,-1.989949749,-4,0.174433,0.175155,0.067744,0.123644,0.111065,0.347959
51,-1.949748744,-4,0.172813,0.173398,0.067769,0.123604,0.109427,0.352989
52,-1.909547739,-4,0.171103,0.171661,0.067757,0.123525,0.107765,0.358189
53,-1.869346734,-4,0.169303,0.169939,0.067709,0.123405,0.106079,0.363565
54,-1.829145729,-4,0.167413,0.168232,0.067621,0.123241,0.10437,0.369123
55,-1.788944724,-4,0.165432,0.166537,0.067494,0.123032,0.102636,0.374868
56,-1.748743719,-4,0.163361,0.164852,0.067325,0.122775,0.100878,0.380807
57,-1.708542714,-4,0.1612,0.163175,0.067114,0.122469,0.099097,0.386945
58,-1.668341709,-4,0.158949,0.161502,0.066859,0.12211,0.097292,0.393288
59,-1.628140704,-4,0.156609,0.159833,0.066558,0.121697,0.095462,0.39984
60,-1.587939698,-4,0.15418,0.158164,0.06621,0.121228,0.09361,0.406609
61,-1.547738693,-4,0.151663,0.156492,0.065815,0.120699,0.091734,0.413598
62,-1.507537688,-4,0.149059,0.154815,0.065371,0.120108,0.089835,0.420813
63,-1.467336683,-4,0.146369,0.153131,0.064876,0.119453,0.087913,0.428259
64,-1.427135678,-4,0.143594,0.151437,0.06433,0.118731,0.085969,0.43594
65,-1.386934673,-4,0.140736,0.149729,0.063732,0.11794,0.084003,0.443861
66,-1.346733668,-4,0.137798,0.148005,0.06308,0.117077,0.082015,0.452025
67,-1.306532663,-4,0.13478,0.146263,0.062374,0.11614,0.080008,0.460435
68,-1.266331658,-4,0.131687,0.144498,0.061614,0.115127,0.07798,0.469095
69,-1.226130653,-4,0.128519,0.142708,0.060798,0.114034,0.075934,0.478006
70,-1.185929648,-4,0.125282,0.140891,0.059927,0.112861,0.07387,0.487169
71,-1.145728643,-4,0.121977,0.139043,0.059,0.111605,0.07179,0.496585
72,-1.105527638,-4,0.118834,0.137161,0.057956,0.110155,0.069823,0.506071
73,-1.065326633,-4,0.115902,0.135247,0.056783,0.10849,0.067996,0.515582
74,-1.025125628,-4,0.113432,0.133438,0.055871,0.107148,0.066397,0.523715
75,-0.984924623,-4,0.111672,0.131818,0.05537,0.106336,0.065144,0.529661
76,-0.944723618,-4,0.109918,0.130211,0.054863,0.105513,0.063906,0.535589
77,-0.904522613,-4,0.108172,0.128617,0.05435,0.104682,0.062682,0.541498
78,-0.864321608,-4,0.106432,0.127036,0.053833,0.103841,0.061475,0.547384
79,-0.824120603,-4,0.104701,0.125468,0.05331,0.102991,0.060282,0.553247
80,-0.783919598,-4,0.101713,0.12325,0.052429,0.101733,0.058405,0.56247
81,-0.743718593,-4,0.098805,0.121065,0.05155,0.100464,0.056587,0.571528
82,-0.703517588,-4,0.096005,0.118931,0.050684,0.099197,0.054845,0.580338
83,-0.663316583,-4,0.093311,0.116848,0.049832,0.097934,0.053174,0.588901
84,-0.623115578,-4,0.09072,0.114815,0.048994,0.096678,0.051573,0.597221
85,-0.582914573,-4,0.088227,0.112833,0.048172,0.09543,0.050038,0.605301
86,-0.542713568,-4,0.085831,0.1109,0.047365,0.094192,0.048566,0.613145
87,-0.502512563,-4,0.083528,0.109018,0.046575,0.092967,0.047156,0.620757
88,-0.462311558,-4,0.081314,0.107184,0.045801,0.091755,0.045804,0.628141
89,-0.422110553,-4,0.079187,0.1054,0.045045,0.090558,0.044508,0.635303
90,-0.381909548,-4,0.077143,0.103663,0.044305,0.089377,0.043266,0.642246
91,-0.341708543,-4,0.07518,0.101973,0.043583,0.088213,0.042075,0.648976
92,-0.301507538,-4,0.073294,0.10033,0.042879,0.087066,0.040934,0.655497
93,-0.261306533,-4,0.071483,0.098732,0.042191,0.085938,0.03984,0.661816
94,-0.221105528,-4,0.069743,0.097179,0.041522,0.084829,0.038791,0.667936
95,-0.180904523,-4,0.068073,0.09567,0.040869,0.083739,0.037785,0.673864
96,-0.140703518,-4,0.066468,0.094204,0.040234,0.082669,0.03682,0.679604
97,-0.100502513,-4,0.064928,0.09278,0.039616,0.08162,0.035894,0.685162
98,-0.060301508,-4,0.063448,0.091397,0.039015,0.08059,0.035007,0.690543
99,-0.020100503,-4,0.062027,0.090055,0.03843,0.079581,0.034155,0.695751
100,0.020100503,-4,0.060663,0.088751,0.037862,0.078593,0.033338,0.700793
101,0.060301508,-4,0.059352,0.087486,0.037309,0.077626,0.032554,0.705672
102,0.100502513,-4,0.058094,0.086258,0.036773,0.076679,0.031802,0.710394
103,0.140703518,-4,0.056885,0.085067,0.036253,0.075752,0.031079,0.714964
104,0.180904523,-4,0.055724,0.083911,0.035747,0.074846,0.030386,0.719386
105,0.221105528,-4,0.054609,0.08279,0.035257,0.07396,0.02972,0.723664
106,0.261306533,-4,0.053539,0.081702,0.034781,0.073094,0.029081,0.727803
107,0.301507538,-4,0.05251,0.080648,0.03432,0.072248,0.028467,0.731808
108,0.341708543,-4,0.051522,0.079625,0.033872,0.071421,0.027877,0.735683
109,0.381909548,-4,0.050574,0.078633,0.033439,0.070613,0.02731,0.739431
110,0.422110553,-4,0.049662,0.077672,0.033018,0.069825,0.026765,0.743057
111,0.462311558,-4,0.048787,0.07674,0.032611,0.069055,0.026242,0.746565
112,0.502512563,-4,0.047946,0.075837,0.032217,0.068303,0.025739,0.749957
113,0.542713568,-4,0.047139,0.074962,0.031835,0.06757,0.025255,0.753239
114,0.582914573,-4,0.046363,0.074114,0.031465,0.066854,0.02479,0.756413
115,0.623115578,-4,0.045618,0.073293,0.031107,0.066156,0.024343,0.759483
116,0.663316583,-4,0.044903,0.072497,0.030761,0.065474,0.023913,0.762452
117,0.703517588,-4,0.044216,0.071726,0.030426,0.06481,0.0235,0.765323
118,0.743718593,-4,0.043556,0.07098,0.030102,0.064161,0.023102,0.768099
119,0.783919598,-4,0.042922,0.070257,0.029789,0.063529,0.02272,0.770783
120,0.824120603,-4,0.042314,0.069558,0.029486,0.062912,0.022352,0.773379
121,0.864321608,-4,0.04173,0.068881,0.029193,0.06231,0.021998,0.775887
122,0.904522613,-4,0.04117,0.068227,0.02891,0.061723,0.021657,0.778313
123,0.944723618,-4,0.040633,0.067593,0.028637,0.061151,0.021329,0.780657
124,0.984924623,-4,0.040117,0.066981,0.028373,0.060593,0.021014,0.782922
125,1.025125628,-4,0.039622,0.066389,0.028118,0.060048,0.020711,0.785111
126,1.065326633,-4,0.039147,0.065817,0.027873,0.059517,0.020419,0.787226
127,1.105527638,-4,0.038693,0.065264,0.027636,0.059,0.020138,0.789269
128,1.145728643,-4,0.038257,0.064731,0.027407,0.058495,0.019868,0.791242
129,1.185929648,-4,0.037839,0.064215,0.027187,0.058002,0.019608,0.793148
130,1.226130653,-4,0.037439,0.063718,0.026975,0.057522,0.019358,0.794987
131,1.266331658,-4,0.037057,0.063239,0.026771,0.057053,0.019118,0.796762
132,1.306532663,-4,0.036691,0.062777,0.026574,0.056596,0.018887,0.798475
133,1.346733668,-4,0.036341,0.062332,0.026385,0.05615,0.018665,0.800128
134,1.386934673,-4,0.036007,0.061903,0.026203,0.055715,0.018451,0.801721
135,1.427135678,-4,0.035687,0.061491,0.026028,0.055291,0.018246,0.803258
136,1.467336683,-4,0.035383,0.061094,0.02586,0.054876,0.018048,0.804738
137,1.507537688,-4,0.035093,0.060713,0.025699,0.054472,0.017859,0.806164
138,1.547738693,-4,0.034817,0.060348,0.025545,0.054077,0.017677,0.807537
139,1.587939698,-4,0.034554,0.059997,0.025397,0.053691,0.017502,0.808858
140,1.628140704,-4,0.034304,0.059662,0.025256,0.053315,0.017335,0.810129
141,1.668341709,-4,0.034067,0.059341,0.02512,0.052947,0.017174,0.811351
142,1.708542714,-4,0.033843,0.059034,0.024991,0.052587,0.01702,0.812525
143,1.748743719,-4,0.033631,0.058741,0.024867,0.052236,0.016872,0.813653
144,1.788944724,-4,0.03343,0.058463,0.024749,0.051893,0.016731,0.814734
145,1.829145729,-4,0.033242,0.058198,0.024637,0.051557,0.016596,0.815771
146,1.869346734,-4,0.033064,0.057946,0.02453,0.051228,0.016466,0.816764
147,1.909547739,-4,0.032898,0.057708,0.024429,0.050907,0.016343,0.817715
148,1.949748744,-4,0.032743,0.057483,0.024333,0.050592,0.016225,0.818624
149,1.989949749,-4,0.032598,0.057272,0.024242,0.050284,0.016113,0.819492
150,2.030150754,-4,0.032464,0.057073,0.024155,0.049982,0.016006,0.82032
151,2.070351759,-4,0.03234,0.056887,0.024074,0.049685,0.015905,0.821108
152,2.110552764,-4,0.032226,0.056714,0.023998,0.049395,0.015809,0.821859
153,2.150753769,-4,0.032122,0.056554,0.023926,0.049109,0.015717,0.822571
154,2.190954774,-4,0.032028,0.056406,0.023859,0.048829,0.015631,0.823247
155,2.231155779,-4,0.031943,0.056271,0.023796,0.048554,0.01555,0.823886
156,2.271356784,-4,0.031868,0.056149,0.023737,0.048283,0.015473,0.824489
157,2.311557789,-4,0.031803,0.056039,0.023683,0.048016,0.015401,0.825058
158,2.351758794,-4,0.031746,0.055942,0.023632,0.047754,0.015334,0.825592
159,2.391959799,-4,0.031699,0.055857,0.023586,0.047495,0.015271,0.826092
160,2.432160804,-4,0.031661,0.055785,0.023544,0.047239,0.015213,0.826559
161,2.472361809,-4,0.031632,0.055725,0.023505,0.046986,0.015159,0.826993
162,2.512562814,-4,0.031612,0.055678,0.02347,0.046736,0.01511,0.827394
163,2.552763819,-4,0.031601,0.055643,0.023438,0.046488,0.015065,0.827764
164,2.592964824,-4,0.031598,0.055622,0.02341,0.046243,0.015024,0.828103
165,2.633165829,-4,0.031604,0.055613,0.023385,0.045999,0.014988,0.82841
166,2.673366834,-4,0.031619,0.055617,0.023363,0.045757,0.014956,0.828687
167,2.713567839,-4,0.031643,0.055634,0.023345,0.045516,0.014928,0.828934
168,2.753768844,-4,0.031675,0.055665,0.023329,0.045276,0.014904,0.829151
169,2.793969849,-4,0.031716,0.055709,0.023316,0.045036,0.014885,0.829339
170,2.834170854,-4,0.031766,0.055766,0.023305,0.044796,0.014869,0.829498
171,2.874371859,-4,0.031824,0.055837,0.023297,0.044556,0.014858,0.829628
172,2.914572864,-4,0.03189,0.055922,0.023292,0.044315,0.014851,0.82973
173,2.954773869,-4,0.031966,0.056022,0.023288,0.044073,0.014848,0.829803
174,2.994974874,-4,0.032049,0.056135,0.023287,0.043829,0.014849,0.829849
175,3.035175879,-4,0.032142,0.056264,0.023287,0.043584,0.014855,0.829868
176,3.075376884,-4,0.032243,0.056408,0.023289,0.043336,0.014865,0.829859
177,3.115577889,-4,0.032353,0.056566,0.023293,0.043086,0.014879,0.829823
178,3.155778894,-4,0.032471,0.056741,0.023297,0.042832,0.014897,0.829761
179,3.195979899,-4,0.032599,0.056932,0.023303,0.042575,0.01492,0.829672
180,3.236180905,-4,0.032734,0.057139,0.023309,0.042313,0.014947,0.829557
181,3.27638191,-4,0.032879,0.057363,0.023316,0.042047,0.014979,0.829416
182,3.316582915,-4,0.033033,0.057605,0.023323,0.041775,0.015015,0.829249
183,3.35678392,-4,0.033195,0.057864,0.023331,0.041498,0.015055,0.829057
184,3.396984925,-4,0.033366,0.058142,0.023338,0.041214,0.0151,0.828839
185,3.43718593,-4,0.033547,0.058439,0.023344,0.040924,0.01515,0.828596
186,3.477386935,-4,0.033736,0.058755,0.023349,0.040627,0.015205,0.828328
187,3.51758794,-4,0.033934,0.059092,0.023354,0.040321,0.015264,0.828035
188,3.557788945,-4,0.034142,0.05945,0.023356,0.040007,0.015329,0.827717
189,3.59798995,-4,0.034358,0.05983,0.023357,0.039683,0.015399,0.827374
190,3.638190955,-4,0.034583,0.060232,0.023355,0.03935,0.015473,0.827007
191,3.67839196,-4,0.034818,0.060657,0.02335,0.039006,0.015553,0.826615
192,3.718592965,-4,0.035062,0.061107,0.023342,0.038651,0.015639,0.826199
193,3.75879397,-4,0.035315,0.061582,0.02333,0.038285,0.01573,0.825758
194,3.798994975,-4,0.035577,0.062084,0.023314,0.037905,0.015827,0.825293
195,3.83919598,-4,0.035849,0.062613,0.023293,0.037513,0.01593,0.824803
196,3.879396985,-4,0.036129,0.06317,0.023267,0.037107,0.016038,0.824289
197,3.91959799,-4,0.036418,0.063758,0.023234,0.036686,0.016153,0.82375
198,3.959798995,-4,0.036717,0.064376,0.023195,0.03625,0.016275,0.823187
199,4,-4,0.037024,0.065028,0.023149,0.035798,0.016403,0.822599
200,-4,-3.959798995,0.202828,0.256614,0.04976,0.09711,0.170428,0.22326
201,-3.959798995,-3.959798995,0.203095,0.254786,0.05027,0.097917,0.169584,0.224348
202,-3.91959799,-3.959798995,0.203333,0.252976,0.050778,0.098722,0.168728,0.225463
203,-3.879396985,-3.959798995,0.203543,0.251181,0.051286,0.099524,0.167858,0.226607
204,-3.83919598,-3.959798995,0.203723,0.249404,0.051794,0.100324,0.166976,0.227779
205,-3.798994975,-3.959798995,0.203874,0.247643,0.052299,0.101121,0.16608,0.228982
206,-3.75879397,-3.959798995,0.203995,0.245899,0.052804,0.101915,0.165171,0.230216
207,-3.718592965,-3.959798995,0.204084,0.244171,0.053307,0.102706,0.164248,0.231483
208,-3.67839196,-3.959798995,0.204142,0.242459,0.053808,0.103493,0.163313,0.232784
209,-3.638190955,-3.959798995,0.204168,0.240764,0.054307,0.104277,0.162363,0.234121
210,-3.59798995,-3.959798995,0.204161,0.239085,0.054803,0.105056,0.1614,0.235494
211,-3.557788945,-3.959798995,0.204121,0.237422,0.055297,0.105831,0.160424,0.236905
212,-3.51758794,-3.959798995,0.204047,0.235775,0.055787,0.106601,0.159434,0.238356
213,-3.477386935,-3.959798995,0.203938,0.234144,0.056275,0.107366,0.158429,0.239848
214,-3.43718593,-3.959798995,0.203794,0.232529,0.056758,0.108125,0.157411,0.241383
215,-3.396984925,-3.959798995,0.203613,0.230929,0.057238,0.108879,0.156379,0.242962
216,-3.35678392,-3.959798995,0.203397,0.229345,0.057713,0.109626,0.155333,0.244587
217,-3.316582915,-3.959798995,0.203142,0.227776,0.058183,0.110367,0.154272,0.24626
218,-3.27638191,-3.959798995,0.20285,0.226222,0.058649,0.111101,0.153197,0.247982
219,-3.236180905,-3.959798995,0.202519,0.224683,0.059108,0.111827,0.152107,0.249756
220,-3.195979899,-3.959798995,0.202148,0.223158,0.059562,0.112545,0.151002,0.251584
221,-3.155778894,-3.959798995,0.201738,0.221648,0.060009,0.113255,0.149883,0.253467
222,-3.115577889,-3.959798995,0.201286,0.220152,0.06045,0.113956,0.148748,0.255407
223,-3.075376884,-3.959798995,0.200793,0.21867,0.060883,0.114648,0.147599,0.257408
224,-3.035175879,-3.959798995,0.200257,0.217202,0.061308,0.11533,0.146434,0.25947
225,-2.994974874,-3.959798995,0.199678,0.215747,0.061724,0.116,0.145253,0.261597
226,-2.954773869,-3.959798995,0.199055,0.214305,0.062132,0.11666,0.144057,0.263791
227,-2.914572864,-3.959798995,0.198387,0.212876,0.06253,0.117308,0.142845,0.266054
228,-2.874371859,-3.959798995,0.197674,0.211459,0.062918,0.117943,0.141617,0.268389
229,-2.834170854,-3.959798995,0.196914,0.210055,0.063296,0.118565,0.140372,0.270798
230,-2.793969849,-3.959798995,0.196107,0.208662,0.063662,0.119172,0.139112,0.273286
231,-2.753768844,-3.959798995,0.195252,0.20728,0.064016,0.119765,0.137834,0.275853
232,-2.713567839,-3.959798995,0.194348,0.205909,0.064357,0.120342,0.13654,0.278505
233,-2.673366834,-3.959798995,0.193395,0.204548,0.064684,0.120902,0.135228,0.281242
234,-2.633165829,-3.959798995,0.192391,0.203197,0.064998,0.121445,0.1339,0.28407
235,-2.592964824,-3.959798995,0.191335,0.201855,0.065296,0.121969,0.132553,0.286991
236,-2.552763819,-3.959798995,0.190228,0.200521,0.065579,0.122474,0.131189,0.290008
237,-2.512562814,-3.959798995,0.189068,0.199196,0.065845,0.122958,0.129807,0.293126
238,-2.472361809,-3.959798995,0.187853,0.197878,0.066094,0.123421,0.128407,0.296348
239,-2.432160804,-3.959798995,0.186584,0.196567,0.066324,0.12386,0.126988,0.299677
240,-2.391959799,-3.959798995,0.185557,0.194913,0.066594,0.124218,0.125581,0.303136
